gene_id	transcript_id	gene_name	type	strand	seqid	biotypes	description	start	end	gc	featWidth	GO BP	GO MF	GO CC
YHR136C	YHR136C_mRNA		protein_coding	-	VIII	protein_coding	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm [Source:SGD;Acc:S000001178]	374654	375100	0.4295	447	GO:0006623	GO:0004860; GO:0004857	GO:0005737
YHR137C-A	YHR137C-A_mRNA		protein_coding	-	VIII	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene ARO9/YHR137W; identified by gene-trapping, expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028649]	375738	376388	0.424	651			
YHR137W	YHR137W_mRNA		protein_coding	+	VIII	protein_coding	Aromatic aminotransferase II; catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism [Source:SGD;Acc:S000001179]	375709	377250	0.4073	1542	GO:0009072; GO:0097053; GO:0019509; GO:0009058	GO:0003824; GO:0016212; GO:0008793; GO:0080130; GO:0030170	GO:0005737
YHR138C	YHR138C_mRNA		protein_coding	-	VIII	protein_coding	Protein of unknown function; similar to Pbi2p; double null mutant lacking Pbi2p and Yhr138cp exhibits highly fragmented vacuoles; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001180]	377355	377699	0.3913	345	GO:0042144	GO:0004866	GO:0000324
YHR139C	YHR139C_mRNA		protein_coding	-	VIII	protein_coding	Protein required for spore wall maturation; expressed during sporulation; may be a component of the spore wall; expression also induced in cells treated with the mycotoxin patulin; SPS100 has a paralog, YGP1, that arose from the whole genome duplication [Source:SGD;Acc:S000001181]	378219	379199	0.4251	981	GO:0030476; GO:0006530	GO:0004067	GO:0005619
YHR139C-A	YHR139C-A_mRNA		protein_coding	-	VIII	protein_coding	Putative protein of unknown function; conserved across S. cerevisiae strains [Source:SGD;Acc:S000003533]	380108	380419	0.3718	312			
YHR140W	YHR140W_mRNA		protein_coding	+	VIII	protein_coding	Putative integral membrane protein of unknown function [Source:SGD;Acc:S000001182]	380572	381291	0.3653	720			GO:0005789; GO:0016021
YHR141C	YHR141C_mRNA	RPL42B	protein_coding	-	VIII	protein_coding	Ribosomal 60S subunit protein L42B; required for propagation of the killer toxin-encoding M1 double-stranded RNA satellite of the L-A double-stranded RNA virus; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42B has a paralog, RPL42A, that arose from the whole genome duplication [Source:SGD;Acc:S000001183]	381990	382751	0.4237	321	GO:0046898; GO:0046677; GO:0006412; GO:0002181	GO:0003735	GO:0005840; GO:0005622; GO:0022625
YHR142W	YHR142W_mRNA		protein_coding	+	VIII	protein_coding	Protein of unknown function; may be involved in chitin biosynthesis by regulation of Chs3p export from the ER; relocalizes from bud neck to ER upon DNA replication stress [Source:SGD;Acc:S000001184]	383538	384488	0.3985	951	GO:0034221; GO:0015031; GO:0071555; GO:0006457; GO:0006888	GO:0051082	GO:0005789; GO:0016021
YHR143W	YHR143W_mRNA		protein_coding	+	VIII	protein_coding	Daughter cell-specific secreted protein with similarity to glucanases; degrades cell wall from the daughter side causing daughter to separate from mother; expression is repressed by cAMP [Source:SGD;Acc:S000001186]	385510	386487	0.4018	978	GO:0000920; GO:0007124; GO:0071555	GO:0015926	GO:0009277; GO:0031225; GO:0005576
YHR143W-A	YHR143W-A_mRNA	RPC10	protein_coding	+	VIII	protein_coding	RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III; relocalizes from nucleolus to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000001185]	387233	387445	0.4178	213	GO:0001172; GO:0006383; GO:0042797; GO:0006386; GO:0006366; GO:0042254; GO:0006360; GO:0006351	GO:0003899; GO:0001054; GO:0003677; GO:0008270	GO:0005666; GO:0005665; GO:0005736; GO:0005654
YHR144C	YHR144C_mRNA		protein_coding	-	VIII	protein_coding	Deoxycytidine monophosphate (dCMP) deaminase; involved in dUMP and dTMP biosynthesis; expression is NOT cell cycle regulated [Source:SGD;Acc:S000001187]	387788	388726	0.3823	939	GO:0006226; GO:0006231	GO:0004132; GO:0003824; GO:0016787; GO:0008270	
YHR145C	YHR145C_mRNA		protein_coding	-	VIII	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000001188]	388981	389337	0.3333	357			GO:0016021
YHR146W	YHR146W_mRNA		protein_coding	+	VIII	protein_coding	Protein that binds to cruciform DNA structures; CRP1 has a paralog, MDG1, that arose from the whole genome duplication [Source:SGD;Acc:S000001189]	390300	391697	0.4185	1398		GO:0003677	GO:0005634
YHR147C	YHR147C_mRNA	MRPL6	protein_coding	-	VIII	protein_coding	Mitochondrial ribosomal protein of the large subunit [Source:SGD;Acc:S000001190]	392639	393283	0.3876	645	GO:0006412; GO:0032543	GO:0003723; GO:0019843; GO:0003735	GO:0005840; GO:0005622; GO:0005762
YHR148W	YHR148W_mRNA		protein_coding	+	VIII	protein_coding	Component of the SSU processome; SSU processome is required for pre-18S rRNA processing, essential protein that interacts with Mpp10p and mediates interactions of Imp4p and Mpp10p with U3 snoRNA [Source:SGD;Acc:S000001191]	393534	394085	0.3859	552	GO:0042274; GO:0006364; GO:0031167	GO:0030515; GO:0003723; GO:0019843	GO:0034457; GO:0005622; GO:0032040; GO:0005654
YHR149C	YHR149C_mRNA		protein_coding	-	VIII	protein_coding	Integral membrane protein; localizes primarily to growing sites such as the bud tip or the cell periphery; potential Cdc28p substrate; Skg6p interacts with Zds1p and Zds2p; SKG6 has a paralog, TOS2, that arose from the whole genome duplication [Source:SGD;Acc:S000001192]	394455	396659	0.41	2205	GO:1902413		GO:0000131; GO:0071944; GO:0005934; GO:0005935; GO:0016021
YHR150W	YHR150W_mRNA		protein_coding	+	VIII	protein_coding	Peroxisomal integral membrane peroxin; involved in the regulation of peroxisomal size, number and distribution; genetic interactions suggest that Pex28p and Pex29p act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p [Source:SGD;Acc:S000001193]	397251	398990	0.3966	1740	GO:0007031		GO:0005778; GO:0016021
YHR151C	YHR151C_mRNA		protein_coding	-	VIII	protein_coding	Protein of unknown function; mtc6 is synthetically sick with cdc13-1; SWAT-GFP and mCherry fusion proteins localize to the vacuole while SWAT-GFP fusion also localizes to the endoplasmic reticulum [Source:SGD;Acc:S000001194]	399268	400848	0.3972	1581			GO:0016021
YHR152W	YHR152W_mRNA		protein_coding	+	VIII	protein_coding	Nucleolar protein of unknown function; positive regulator of mitotic exit; involved in regulating release of Cdc14p from the nucleolus in early anaphase, may play similar role in meiosis; SPO12 has a paralog, BNS1, that arose from the whole genome duplication [Source:SGD;Acc:S000001195]	401434	401955	0.4023	522	GO:0007127; GO:0031536; GO:0000278; GO:0030435; GO:0007096		GO:0005634; GO:0005730
YHR153C	YHR153C_mRNA		protein_coding	-	VIII	protein_coding	Meiosis-specific protein involved in synaptonemal complex assembly; implicated in regulation of crossover formation; required for sporulation [Source:SGD;Acc:S000001196]	402086	402682	0.3601	597	GO:0010520; GO:0033235; GO:0007130; GO:0030437		
YHR154W	YHR154W_mRNA	RTT107	protein_coding	+	VIII	protein_coding	Protein implicated in Mms22-dependent DNA repair during S phase; involved in recruiting the SMC5/6 complex to double-strand breaks; DNA damage induces phosphorylation by Mec1p at one or more SQ/TQ motifs; interacts with Mms22p and Slx4p; has four BRCT domains; has a role in regulation of Ty1 transposition; relative distribution to nuclear foci increases upon DNA replication stress [Source:SGD;Acc:S000001197]	402966	406178	0.3529	3213	GO:1903775; GO:2000001; GO:1990683; GO:0007095; GO:0010526; GO:0033314; GO:0006270; GO:0006302		GO:0035361; GO:0005634
YHR155W	YHR155W_mRNA		protein_coding	+	VIII	protein_coding	Putative sterol transfer protein; localizes to puncta in the cortical ER; probable role in retrograde transport of sterols from the plasma membrane to the ER; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; contains GRAM, StART-like (VASt) and two PH-like domains [Source:SGD;Acc:S000001198]	407103	410789	0.3564	3687	GO:0032366	GO:0015248	GO:0032541; GO:0031966; GO:0005739; GO:0005789; GO:0016021
YHR156C	YHR156C_mRNA	LIN1	protein_coding	-	VIII	protein_coding	Non-essential component of U5 snRNP; nuclear protein; physically interacts with Irr1p of cohesin complex; may link together proteins involved in chromosome segregation, mRNA splicing and DNA replication [Source:SGD;Acc:S000001199]	411384	412406	0.3431	1023		GO:0005515	GO:0005682; GO:0000785; GO:0005634
YHR157W	YHR157W_mRNA		protein_coding	+	VIII	protein_coding	Protein involved in early stages of meiotic recombination; required for meiotic crossing over; forms a complex with Rec102p and Spo11p necessary during the initiation of recombination [Source:SGD;Acc:S000001200]	412907	413455	0.3862	549	GO:0042138; GO:0007131; GO:0006355; GO:0006351		GO:0000794
YHR158C	YHR158C_mRNA		protein_coding	-	VIII	protein_coding	Protein required for proper cell fusion and cell morphology; forms a complex with Bud14p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; functions in a complex with Kel2p to negatively regulate mitotic exit, interacts with Tem1p and Lte1p; localizes to regions of polarized growth; potential Cdc28p substrate [Source:SGD;Acc:S000001201]	413685	417179	0.3923	3495	GO:0060627; GO:0090337; GO:0032465; GO:0008360; GO:0000755; GO:0001100	GO:0042802; GO:0005515	GO:1990615; GO:0005938; GO:0043332; GO:0005934; GO:0005935
YHR159W	YHR159W_mRNA		protein_coding	+	VIII	protein_coding	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; potential Cdc28p substrate; null mutant is sensitive to expression of the top1-T722A allele [Source:SGD;Acc:S000001202]	417549	419063	0.4205	1515			GO:0005737
YHR160C	YHR160C_mRNA		protein_coding	-	VIII	protein_coding	Peroxin; required for targeting of peroxisomal matrix proteins containing PTS2; interacts with Pex7p; partially redundant with Pex21p; primarily responsible for peroxisomal import during growth on oleate, and expression is induced during oleate growth [Source:SGD;Acc:S000001203]	419221	420072	0.3779	852	GO:0016558		GO:0005777; GO:0005778; GO:0005829
YHR161C	YHR161C_mRNA		protein_coding	-	VIII	protein_coding	Protein of the AP180 family, involved in clathrin cage assembly; binds Pan1p and clathrin; YAP1801 has a paralog, YAP1802, that arose from the whole genome duplication [Source:SGD;Acc:S000001204]	420373	422286	0.4295	1914	GO:0048268; GO:0006897	GO:0005545; GO:0005543; GO:0030276	GO:0030136; GO:0030479; GO:0005935; GO:0005886
YHR162W	YHR162W_mRNA		protein_coding	+	VIII	protein_coding	Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on fermentable carbon sources, and heterodimerizes with Mpc1p to form the fermentative isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC2 paralog, MPC3, heterodimerizes with Mpc1p to form the respiratory MPC isoform [Source:SGD;Acc:S000001205]	423072	423461	0.4615	390	GO:0006850	GO:0050833	GO:0031305; GO:0005743
YHR163W	YHR163W_mRNA		protein_coding	+	VIII	protein_coding	6-phosphogluconolactonase; catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and Sol1p; SOL3 has a paralog, SOL4, that arose from the whole genome duplication [Source:SGD;Acc:S000001206]	423724	424473	0.4373	750	GO:0006098; GO:0009051; GO:0005975	GO:0017057	GO:0005634; GO:0005737
YHR164C	YHR164C_mRNA	DNA2	protein_coding	-	VIII	protein_coding	Tripartite DNA replication factor; single-stranded DNA-dependent ATPase, ATP-dependent nuclease, helicase; tracking protein for flap cleavage during Okazaki fragment maturation; involved in DNA repair/processing of meiotic DNA double strand breaks; component of telomeric chromatin with cell-cycle dependent localization; required for telomerase-dependent telomere synthesis; forms nuclear foci upon DNA replication stress; human homolog DNA2 complements yeast dna2 mutant [Source:SGD;Acc:S000001207]	424610	429178	0.3758	4569	GO:0033567; GO:0000729; GO:0000706; GO:0006261; GO:0006273; GO:0000733; GO:0006281; GO:0006974; GO:0000723; GO:0001302	GO:0043139; GO:0017108; GO:0000014; GO:0004518; GO:0003677; GO:0051539; GO:0005524; GO:0046872	GO:0035861; GO:0000784; GO:0005634; GO:0005829; GO:0005737
YHR165C	YHR165C_mRNA	PRP8	protein_coding	-	VIII	protein_coding	Component of U4/U6-U5 snRNP complex; involved in second catalytic step of splicing; participates in spliceosomal assembly through its interaction with U1 snRNA; largest and most evolutionarily conserved protein of the spliceosome; mutations in human ortholog, PRPF8, cause Retinitis pigmentosa and missplicing in Myelodysplastic syndrome; mouse ortholog interacts with androgen receptor and may have a role in prostate cancer [Source:SGD;Acc:S000001208]	429707	436948	0.3841	7242	GO:0000389; GO:0000244; GO:0000350; GO:0000398	GO:0097157; GO:0030623; GO:0030620; GO:0017070; GO:0030619; GO:0003723; GO:0005515	GO:0005682; GO:0046540; GO:0005681; GO:0071013; GO:0005634
YHR165W-A	YHR165W-A_mRNA		protein_coding	+	VIII	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps ORF PRP8/YHR165C [Source:SGD;Acc:S000028783]	436647	436958	0.4744	312			
YHR166C	YHR166C_mRNA		protein_coding	-	VIII	protein_coding	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition [Source:SGD;Acc:S000001209]	437170	439050	0.386	1881	GO:0031145; GO:0030071; GO:0016567; GO:0051301; GO:0007049	GO:0030332; GO:0005515	GO:0005680; GO:0000777
YHR167W	YHR167W_mRNA		protein_coding	+	VIII	protein_coding	Subunit of the THO and TREX complexes; THO connects transcription elongation and mitotic recombination, and TREX is recruited to activated genes and couples transcription to mRNA export; involved in telomere maintenance [Source:SGD;Acc:S000001210]	439342	440127	0.3842	786	GO:0034063; GO:0006368; GO:0006310; GO:0000723; GO:0006406; GO:0006355	GO:0003676	GO:0000446; GO:0000445
YHR168W	YHR168W_mRNA		protein_coding	+	VIII	protein_coding	Putative GTPase; member of the Obg family; peripheral protein of the mitochondrial inner membrane that associates with the large ribosomal subunit; required for mitochondrial translation, possibly via a role in ribosome assembly [Source:SGD;Acc:S000001211]	440377	441933	0.4239	1557	GO:0002181	GO:0003924; GO:0005525; GO:0043022	GO:0019898; GO:0005743
YHR169W	YHR169W_mRNA		protein_coding	+	VIII	protein_coding	ATPase, putative RNA helicase of the DEAD-box family; component of 90S preribosome complex involved in production of 18S rRNA and assembly of 40S small ribosomal subunit; ATPase activity stimulated by association with Esf2p [Source:SGD;Acc:S000001212]	442181	443476	0.4306	1296	GO:0000472; GO:0000480; GO:0000447; GO:0010501; GO:0031167	GO:0003676; GO:0003723; GO:0005524; GO:0016887	GO:0005654; GO:0005730; GO:0005737
YHR170W	YHR170W_mRNA	NMD3	protein_coding	+	VIII	protein_coding	Protein involved in nuclear export of the large ribosomal subunit; acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex [Source:SGD;Acc:S000001213]	443828	445384	0.395	1557	GO:0007029; GO:0000055; GO:0006611	GO:0043023	GO:0005654; GO:0005634; GO:0005829
YHR171W	YHR171W_mRNA	ATG7	protein_coding	+	VIII	protein_coding	Autophagy-related protein and dual specificity member of the E1 family; mediates the attachment of Atg12p to Atg5p and Atg8p to phosphatidylethanolamine which are required steps in autophagosome formation; E1 enzymes are also known as ubiquitin-activating enzymes; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner [Source:SGD;Acc:S000001214]	445713	447605	0.3693	1893	GO:0050832; GO:0006501; GO:0032446; GO:0044805; GO:0000422; GO:0006995; GO:0006914; GO:0015031; GO:0032258; GO:0034727; GO:0000045; GO:0016236	GO:0008641; GO:0019778; GO:0019779; GO:0042802	GO:0097632; GO:0000407; GO:0016020; GO:0005829; GO:0005737
YHR172W	YHR172W_mRNA		protein_coding	+	VIII	protein_coding	Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque [Source:SGD;Acc:S000001215]	448335	450806	0.3617	2472	GO:0051415; GO:0090307; GO:0031122; GO:0000226; GO:0051321; GO:0007020	GO:0043015; GO:0005200	GO:0000923; GO:0000928; GO:0005824; GO:0005634; GO:0005822; GO:0000922; GO:0005874; GO:0005815
YHR173C	YHR173C_mRNA		protein_coding	-	VIII	protein_coding	Protein of unknown function; expressed at both mRNA and protein levels; SWAT-GFP and mCherry fusion proteins localize to the vacuole [Source:SGD;Acc:S000001216]	450815	451153	0.3894	339			
YHR174W	YHR174W_mRNA	ENO2	protein_coding	+	VIII	protein_coding	Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication [Source:SGD;Acc:S000001217]	451327	452640	0.4756	1314	GO:0032889; GO:0006094; GO:0006096	GO:0004634; GO:0000287	GO:0009898; GO:0000015; GO:0000324; GO:0005739
YHR175W	YHR175W_mRNA		protein_coding	+	VIII	protein_coding	Low-affinity copper transporter of the vacuolar membrane; mutation confers resistance to toxic copper concentrations, while overexpression confers resistance to copper starvation; regulated by nonsense-mediated mRNA decay pathway [Source:SGD;Acc:S000001218]	452872	453441	0.4088	570	GO:0035434; GO:0015677; GO:0015680; GO:0006878	GO:0005375	GO:0000329; GO:0016021
YHR175W-A	YHR175W-A_mRNA		protein_coding	+	VIII	protein_coding	Putative protein of unknown function; identified by fungal homology and RT-PCR [Source:SGD;Acc:S000028553]	453558	453707	0.3133	150			GO:0016021
YHR176W	YHR176W_mRNA		protein_coding	+	VIII	protein_coding	Flavin-containing monooxygenase; localized to the cytoplasmic face of the ER membrane; catalyzes oxidation of biological thiols to maintain the ER redox buffer ratio for correct folding of disulfide-bonded proteins [Source:SGD;Acc:S000001219]	454229	455527	0.4219	1299	GO:0055114; GO:0006457	GO:0004499; GO:0050661; GO:0050660	GO:0005789
YHR177W	YHR177W_mRNA	YHR177W	protein_coding	+	VIII	protein_coding	Putative transcription factor containing a WOPR domain; binds DNA in vitro; similar to C. albicans Wor1p transcription factor that regulates white-opaque switching; overexpression causes a cell cycle delay or arrest [Source:SGD;Acc:S000001220]	456591	457952	0.4178	1362	GO:0045944	GO:0003677	GO:0005634
YHR178W	YHR178W_mRNA		protein_coding	+	VIII	protein_coding	Transcription factor; involved in regulating multidrug resistance and oxidative stress response; forms a heterodimer with Pdr1p; contains a Zn(II)2Cys6 zinc finger domain that interacts with a pleiotropic drug resistance element in vitro [Source:SGD;Acc:S000001221]	459299	461530	0.4162	2232	GO:0009410; GO:0043619; GO:0006355; GO:0006351	GO:0000981; GO:0003700; GO:0003677; GO:0008270	GO:0005634
YHR179W	YHR179W_mRNA	OYE2	protein_coding	+	VIII	protein_coding	Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN); responsible for geraniol reduction into citronellol during fermentation; homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001222]	462502	463704	0.4306	1203	GO:0006915; GO:0055114	GO:0003824; GO:0052690; GO:0003959; GO:0018548; GO:0010181; GO:0016491	
YHR180C-B	YHR180C-B_mRNA		protein_coding	-	VIII	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the dubious ORF YHR180W-A [Source:SGD;Acc:S000028554]	466958	467062	0.4	105			
YHR180W	YHR180W_mRNA		protein_coding	+	VIII	protein_coding	Putative protein of unknown function; conserved among S. cerevisiae strains [Source:SGD;Acc:S000001223]	465178	465669	0.4126	492			GO:0016021
YHR180W-A	YHR180W-A_mRNA		protein_coding	+	VIII	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious ORF YHR180C-B and long terminal repeat YHRCsigma3 [Source:SGD;Acc:S000028555]	466932	467114	0.3497	183			GO:0016021
YHR181W	YHR181W_mRNA	SVP26	protein_coding	+	VIII	protein_coding	Integral membrane protein of the early Golgi apparatus and ER; involved in COP II vesicle transport; may also function to promote retention of proteins in the early Golgi compartment [Source:SGD;Acc:S000001224]	467228	467914	0.377	687	GO:0015031; GO:0006486; GO:0045053; GO:0006888; GO:0031505	GO:0097020	GO:0030134; GO:0030176; GO:0030173
YHR182C-A	YHR182C-A_mRNA		protein_coding	-	VIII	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF GND1/YHR183W [Source:SGD;Acc:S000028784]	470939	471412	0.4346	474			
YHR182W	YHR182W_mRNA		protein_coding	+	VIII	protein_coding	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and cytoplasm; relocalizes from bud neck to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000001225]	468219	470576	0.377	2358	GO:0007165		
YHR183W	YHR183W_mRNA		protein_coding	+	VIII	protein_coding	6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication [Source:SGD;Acc:S000001226]	470960	472429	0.4449	1470	GO:0006098; GO:0009051; GO:0019521; GO:0055114; GO:0034599	GO:0050661; GO:0004616; GO:0016491	GO:0005737
YHR184W	YHR184W_mRNA	SSP1	protein_coding	+	VIII	protein_coding	Protein involved in the control of meiotic nuclear division; involved in the coordination of meiosis with spore formation; subunit of the leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms a ring-like structure at the leading edge of the prospore membrane during meiosis II; required for assembly of the leading edge coat and both prospore membrane shaping and organization; transcription is induced midway through meiosis [Source:SGD;Acc:S000001227]	472744	474459	0.3497	1716	GO:0030476; GO:0051301; GO:0032120		GO:0070056; GO:0005628
YHR185C	YHR185C_mRNA	PFS1	protein_coding	-	VIII	protein_coding	Sporulation protein required for prospore membrane formation; required for prospore membrane formation at selected spindle poles; ensures functionality of all four spindle pole bodies during meiosis II; not required for meiotic recombination or meiotic chromosome segregation [Source:SGD;Acc:S000001228]	474627	475340	0.3543	714	GO:0030476		GO:0005816; GO:0005634; GO:0005737
YHR186C	YHR186C_mRNA	KOG1	protein_coding	-	VIII	protein_coding	Subunit of TORC1; TORC1 is a rapamycin-sensitive complex involved in growth control that contains Tor1p or Tor2p, Lst8p and Tco89p; contains four HEAT repeats and seven WD-40 repeats; may act as a scaffold protein to couple TOR and its effectors [Source:SGD;Acc:S000001229]	475999	480672	0.3847	4674	GO:0030307; GO:0001558; GO:0031929; GO:0010506; GO:0009267; GO:0071230; GO:0071902; GO:0008361	GO:0030674; GO:0043130; GO:0005515	GO:0031931; GO:0000329; GO:0010494; GO:0005886
YHR187W	YHR187W_mRNA	IKI1	protein_coding	+	VIII	protein_coding	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; iki1 mutations confer resistance to the K. lactis toxin zymocin [Source:SGD;Acc:S000001230]	480990	481919	0.3914	930	GO:0006400; GO:0006355; GO:0006351; GO:0002098	GO:0042802	GO:0033588; GO:0005654; GO:0005634; GO:0005737
YHR188C	YHR188C_mRNA		protein_coding	-	VIII	protein_coding	Subunit of the glycosylphosphatidylinositol transamidase complex; transmembrane protein; adds GPIs to newly synthesized proteins; human PIG-Tp homolog [Source:SGD;Acc:S000001231]	482005	483837	0.4392	1833	GO:0016255	GO:0003923	GO:0042765
YHR189W	YHR189W_mRNA	PTH1	protein_coding	+	VIII	protein_coding	One of two mitochondrially-localized peptidyl-tRNA hydrolases; dispensable for respiratory growth on rich medium, but required for respiratory growth on minimal medium; see also PTH2 [Source:SGD;Acc:S000001232]	484028	484600	0.5236	573	GO:0032543	GO:0004045	GO:0005739
YHR190W	YHR190W_mRNA		protein_coding	+	VIII	protein_coding	Farnesyl-diphosphate farnesyl transferase (squalene synthase); joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway [Source:SGD;Acc:S000001233]	484845	486179	0.4022	1335	GO:0045338; GO:0008610; GO:0008299; GO:0009058; GO:0006696	GO:0051996; GO:0004310; GO:0016765; GO:0016740; GO:0016491	GO:0005789; GO:0016021
YHR191C	YHR191C_mRNA		protein_coding	-	VIII	protein_coding	Subunit of a complex with Ctf18p; shares some subunits with Replication Factor C; required for sister chromatid cohesion [Source:SGD;Acc:S000001234]	486230	486631	0.4328	402	GO:0006260; GO:0035753; GO:0007064	GO:0003677	GO:0031390; GO:0005634
YHR192W	YHR192W_mRNA		protein_coding	+	VIII	protein_coding	Lunapark family member involved in ER network formation; regulates the ER asymmetry-induced inheritance block during ER stress; localizes to ER junctions and this localization is regulated by the yeast atlastin ortholog Sey1p; interacts with the reticulon protein Rtn1p; induced in response to the DNA-damaging agent MMS [Source:SGD;Acc:S000001235]	486826	487662	0.405	837	GO:0034976; GO:0071786	GO:0046872	GO:0071782; GO:0005789; GO:0016021
YHR193C	YHR193C_mRNA		protein_coding	-	VIII	protein_coding	Alpha subunit of the nascent polypeptide-associated complex (NAC); involved in protein sorting and translocation; associated with cytoplasmic ribosomes [Source:SGD;Acc:S000001236]	487712	488236	0.4514	525	GO:0006620; GO:0051083	GO:0032266; GO:0080025; GO:0070273; GO:0070300; GO:0051082; GO:0005515	GO:0005854; GO:0005634
YHR193C-A	YHR193C-A_mRNA		protein_coding	-	VIII	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified ORF MDM31/YHR194W [Source:SGD;Acc:S000028785]	488653	489027	0.424	375			
YHR194W	YHR194W_mRNA		protein_coding	+	VIII	protein_coding	Mitochondrial protein that may have a role in phospholipid metabolism; inner membrane protein with similarity to Mdm32p; required for normal mitochondrial morphology and inheritance; interacts genetically with MMM1, MMM2, MDM10, MDM12, and MDM34 [Source:SGD;Acc:S000001237]	488657	490396	0.4437	1740	GO:1900208; GO:0006873; GO:0000001; GO:0007005		GO:0005743; GO:0016021
YHR195W	YHR195W_mRNA	NVJ1	protein_coding	+	VIII	protein_coding	Nuclear envelope protein; anchored to the nuclear inner membrane, that interacts with the vacuolar membrane protein Vac8p to promote formation of nucleus-vacuole junctions during piecemeal microautophagy of the nucleus (PMN) [Source:SGD;Acc:S000001238]	490747	491712	0.4141	966	GO:0071562; GO:0034613; GO:0034727		GO:0005640; GO:0005635; GO:0071561; GO:0016021
YHR196W	YHR196W_mRNA		protein_coding	+	VIII	protein_coding	Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA [Source:SGD;Acc:S000001239]	491931	493658	0.3426	1728	GO:0000462; GO:0045943; GO:0006351	GO:0030515; GO:0005515	GO:0034455; GO:0033553; GO:0032040; GO:0005730
YHR197W	YHR197W_mRNA	RIX1	protein_coding	+	VIII	protein_coding	Component of the Rix1 complex and possibly pre-replicative complexes; required for processing of ITS2 sequences from 35S pre-rRNA; component of the pre-60S ribosomal particle with the dynein-related AAA-type ATPase Mdn1p; required for pre-replicative complex (pre-RC) formation and maintenance during DNA replication licensing; relocalizes to the cytosol in response to hypoxia; essential gene [Source:SGD;Acc:S000001240]	493896	496187	0.3604	2292	GO:0030174; GO:0000054; GO:0006364; GO:0000027; GO:0006267	GO:0003682	GO:0097344; GO:0005654; GO:0005634; GO:0005829
